algorithm,mean_cumulative_regret,std_cumulative_regret,mean_average_reward,mean_optimal_arm_rate
exp3_gamma_0.5,484.0800000000069,8.715720823528589,0.31395,0.19319999999999998
loss_exp3_gamma_0.5,485.1000000000069,7.543139092475054,0.31225,0.1915
exp3_gamma_0.01,496.2000000000074,7.466134066218003,0.29524999999999996,0.173
loss_exp3_gamma_0.01,496.2000000000074,6.771457123762277,0.29615,0.173
exp3_gamma_0.2,500.9400000000076,5.478032685669685,0.29209999999999997,0.1651
loss_exp3_gamma_0.2,501.0300000000076,4.372293147585428,0.2907,0.16494999999999999
loss_exp3_gamma_0.05,515.400000000008,7.81819739622377,0.2739,0.14100000000000001
loss_exp3_gamma_0.1,516.1800000000081,4.335848123189928,0.2716,0.1397
exp3_gamma_0.05,518.7000000000082,9.292101909403682,0.27485,0.1355
exp3_gamma_0.1,521.6700000000083,5.455764696268964,0.27135000000000004,0.13055
